用户ID,评论时间,点赞总数,评论内容
1461626116,2018-05-19 15:25:17,0,掉下眼泪的，还有我动态画的赵雷民谣油画呢让你开心+"
"1460075862,2018-05-19 15:24:15,0,加油+"
"56600686,2018-05-19 14:57:57,0,昨天中午500账限量版票抢到了 那天有缘见了[呲牙]+"
"301299077,2018-05-19 14:29:58,0,还好吗？+"
"494894876,2018-05-19 14:15:00,0,约上三两好友 一起去鼓楼+"
"301408271,2018-05-19 14:06:34,0,今年夏天是真的热、开了第二个店了。生意很一般、爸爸妈妈依旧在面朝黄土。姐姐家今年买了新房。很开心、也很惆怅。不知道日子是否会依旧如此下去！不想依旧。又想依旧。告诉自己会好起来的、但谁知道是多久？+"
"315108310,2018-05-19 13:49:35,1,还记得当时去鼓楼，有个文艺歌手在鼓楼下面唱你的《鼓楼》，恰巧城管大叔来赶人了哈哈哈，太有画面感了[大笑]+"
"548439099,2018-05-19 13:05:40,1,遇见过一些姑娘，都是过眼云烟，希望在网易云找个女朋友，我会在每首我喜欢的歌的下面评论，希望有一个喜欢民谣，我能想象到听民谣的姑娘是多么的淳朴善良，我觉得你一定很暖，我怀着一颗赤诚的心已经等了很久，希望有一天能遇见你，让我知道这么久的等待不是徒劳+"
"288269630,2018-05-19 11:39:20,0,希望你健康+"
"260926231,2018-05-19 11:19:57,0,你是得多有钱+"
"344112292,2018-05-19 10:33:25,0,嗯呐！一起加油＾０＾~+"
"383501177,2018-05-19 10:21:20,1,你一定是最酷最酷的，要加油啊+"
"293121394,2018-05-19 10:17:56,0,嗯嗯。加油哦+"
"1331810831,2018-05-19 10:13:50,0,？？？what?+"
"344112292,2018-05-19 10:01:52,0,＋1☺+"
"344112292,2018-05-19 10:01:26,0,同行啊，师范生，明年这个时候我就毕业了+"
"1400121424,2018-05-19 08:50:05,1,愿世界对你温柔以待。+"
"1451810080,2018-05-19 08:13:28,0,哪里有Smile?？+"
"354387139,2018-05-19 00:30:08,1,为什么会听哭啊+"
"613330148,2018-05-19 00:13:44,0,发黄的电风扇得陪绿色的竹编黑色的可乐要快乐地搭配蓝色的癫痫绿色红色白色五颜六色的饭点时间搭着31路公交车流着汗水渐远枇杷树里尘土太浅没什么庭有枇杷树的想念只有圆润发亮糖浆微笑的甜夜里抬头鼓楼上有半打月光酒一桶浇铸的钟全部想念你的我+"
"297435185,2017-04-05 23:34:44,0,理解错了[大哭]+"
"297435185,2017-04-05 23:33:56,0,歌词里的是北京的吧[呆]+"
"65763000,2017-04-05 23:07:32,5,合肥也有一个鼓楼，也有很多平凡的人。后面是合肥最奢侈的银泰，很多平凡人在里面装着b。+"
"370603007,2017-04-05 23:05:03,2,不知道为什么，听这个歌，就特别想去西安…也许有一天我真的到了西安，听着这首歌，不知道什么心情+"
"81566182,2017-04-05 22:57:58,1,宁波也有鼓楼[大哭]+"
"133669755,2017-04-05 22:45:03,4,前天晚上去鼓楼啦，正好放的你的这首歌。坐在后海的酒吧里，唱的还是你的民谣[爱心]+"
"268699674,2017-04-05 22:22:19,0,帮你一把+"
"3838732,2017-04-05 22:15:44,2,被室友安利了这首歌~+"
"3838732,2017-04-05 22:14:26,0,哎呀不小心看到了+"
"300905913,2017-04-05 21:47:52,2,悄悄说在这里，我其实好想抱着雷子撒个娇。+"
"99533283,2017-04-05 21:42:15,1,祝福祝福+"
"396147903,2017-04-05 21:37:54,0,six。six。six+"
"65596073,2017-04-05 19:21:14,1,哈哈+"
"65596073,2017-04-05 19:20:53,1,我去西安玩了三天，西安还不错[大笑]+"
"357051015,2017-04-05 18:52:17,3,唱民谣的赵雷最帅+"
"75783517,2017-04-05 18:45:51,1,哈哈哈+"
"402175320,2017-04-05 18:45:21,0,我知道啊，川农不就在雅安吗，他们还说川农占了半个雅安呢+"
"75783517,2017-04-05 18:44:30,0,你是哪的+"
"75783517,2017-04-05 18:44:20,0,你不晓得雅安？+"
"127090573,2017-04-05 18:37:42,0,震惊：男默女泪，街头某男子丧心病狂跪地乞讨居然是为了得到另一个男人的一样东西。+"
"387795661,2016-12-28 09:39:05,3,哈哈，丽江小倩他没有追到手[呲牙]+"
"248649824,2016-12-28 09:39:03,2,今天早上爬起来，突然很想听雷子的鼓楼，然后就把专辑买了+"
"110720335,2016-12-28 09:35:04,3,时间还长呢  慢慢来喽+"
"110720335,2016-12-28 09:34:36,2,要文艺回家自己文艺去     装模作样被喷我一句是不是很爽？+"
"33533419,2016-12-28 09:33:45,5,我的妈呀，雷子跟我说晚安了+"
"110720335,2016-12-28 09:31:55,2,哦  nmsl+"
"15858315,2016-12-28 09:28:35,3,蝼蚁之心安测他人之心境？井蛙之眼何见天地之浩大？多积善行，莫坏嘴德。+"
"82472297,2016-12-28 09:06:28,2,同意+"
"128333686,2016-12-28 09:04:28,2,还不如蛆+"
