rank,gender,age,follows,region,listen_count
2,Female,,9,山东省 - 济宁市,61
7,Female,26,26,山东省 - 济南市,1888
1,Female,,8,河南省 - 驻马店市,25
8,Female,,41,湖南省 - 长沙市,3518
7,Female,,60,,2168
7,Male,28,54,甘肃省 - 兰州市,2386
7,Female,,25,河北省 - 石家庄市,1126
7,Male,,75,,1895
8,Female,,41,,3347
6,Female,22,106,北京市 ,885
6,Female,25,10,河南省 - 郑州市,621
7,Female,,13,河北省 - 石家庄市,2617
7,Female,,13,海外 - 摩洛哥,1340
9,Male,26,115,山东省 - 临沂市,8282
7,Male,21,51,山东省 - 泰安市,2647
7,Female,,8,,1356
7,Female,,143,北京市 ,1722
8,Male,25,125,浙江省 - 杭州市,5006
6,Male,,18,,928
7,Female,,15,福建省 - 泉州市,2780
6,Female,,5,天津市 ,567
7,Female,,21,,1898
3,Male,,15,河北省 - 沧州市,100
7,Female,27,24,安徽省 - 合肥市,2201
6,Male,,30,安徽省 - 合肥市,953
8,Male,,76,福建省 - 泉州市,6369
7,Male,18,18,广东省 - 深圳市,2386
7,Male,,27,湖北省 - 武汉市,1124
7,Male,28,103,山东省 - 潍坊市,1915
6,Male,,29,,514
8,Female,,72,,3189
9,Male,,253,,10609
8,Female,,81,江苏省 - 苏州市,3998
7,Male,,24,河北省 - 唐山市,1119
8,Female,22,65,河南省 - 洛阳市,6918
8,Male,,24,,3062
7,Female,,18,,2248
8,Male,24,37,浙江省 - 杭州市,6465
8,Male,19,67,广西 - 南宁市,3716
6,Female,29,37,内蒙古 - 锡林郭勒盟,954
7,Female,21,39,江苏省 - 南京市,1571
7,Male,,8,内蒙古 - 包头市,1281
7,Male,30,42,广东省 - 汕尾市,2455
5,Male,,14,陕西省 - 榆林市,391
7,Female,21,211,香港 ,2837
7,Female,,13,湖南省 - 张家界市,1226
6,Male,20,29,西藏 - 阿里地区,812
7,Female,20,100,湖南省 - 张家界市,1655
7,Female,,25,湖南省 - 湘西土家族苗族自治州,2689
7,Male,22,134,江苏省 - 无锡市,1410
8,Female,,56,广东省 - 广州市,3138
7,Female,,20,,2412
7,Female,,28,,1084
6,Female,,46,北京市 ,845
7,Female,19,18,四川省 - 成都市,1719
8,Male,24,79,湖南省 - 长沙市,3252
8,Male,,19,,3018
8,Female,,6,,3423
6,Male,,13,海外 - 克罗地亚,754
7,Female,,31,云南省 - 昆明市,2206
5,Male,25,11,河北省 - 唐山市,287
7,Male,,39,,2250
6,Female,,20,吉林省 - 四平市,522
7,Female,,208,,2405
9,Male,28,39,江苏省 - 南京市,9325
8,Male,20,109,四川省 - 成都市,3323
8,Female,,50,陕西省 - 西安市,7819
7,Male,21,39,贵州省 - 贵阳市,2201
7,Male,29,163,江苏省 - 苏州市,2034
8,Male,14,504,江苏省 - 无锡市,6640
7,Female,,9,浙江省 - 宁波市,1744
5,Male,,12,河北省 - 张家口市,482
5,Female,23,0,福建省 - 福州市,492
8,Male,25,32,湖南省 - 长沙市,3541
6,Female,22,36,云南省 - 丽江市,795
7,Male,,13,辽宁省 - 丹东市,2868
8,Female,19,31,浙江省 - 杭州市,4070
1,Male,,6,山东省 - 济南市,35
8,Male,27,81,湖北省 - 黄冈市,4968
8,Male,,89,黑龙江省 - 牡丹江市,3135
7,Male,20,70,湖南省 - 长沙市,2123
5,Female,,8,山东省 - 济南市,259
7,Male,,140,,2901
8,Male,19,51,河南省 - 洛阳市,4122
6,Male,,29,贵州省 - 贵阳市,716
1,Male,28,35,天津市 ,35
7,Male,,10,,2407
8,Male,24,21,广东省 - 广州市,6432
8,Male,24,43,新疆 - 昌吉回族自治州,3076
5,Female,,6,广东省 - 惠州市,308
8,Female,,25,,4058
8,Female,1,77,安徽省 - 淮北市,3235
6,Female,,10,黑龙江省 - 哈尔滨市,940
8,Male,28,67,山东省 - 烟台市,4864
8,Female,25,559,上海市 ,6882
7,Female,,22,四川省 - 成都市,1119
8,Female,30,54,云南省 - 昆明市,3373
7,Male,99,132,江西省 - 九江市,1577
5,Female,,13,云南省 - 昆明市,376
5,Female,,22,新疆 - 乌鲁木齐市,202
8,Male,,70,,3662
8,Male,18,33,山西省 - 晋城市,6899
6,Female,18,18,浙江省 - 杭州市,762
6,Male,,31,重庆市 ,614
3,Female,,8,,103
5,Female,,21,福建省 - 福州市,277
6,Female,,43,,636
5,Male,,22,黑龙江省 - 哈尔滨市,257
7,Female,24,87,陕西省 - 西安市,1106
7,Male,23,36,山西省 - 运城市,2987
6,Female,,6,湖北省 - 咸宁市,408
8,Male,24,38,安徽省 - 合肥市,3615
6,Female,,37,重庆市 ,767
6,Male,18,10,福建省 - 福州市,435
8,Male,21,42,内蒙古 - 赤峰市,3070
8,Male,25,51,湖北省 - 武汉市,3735
5,Female,,6,山东省 - 潍坊市,381
6,Female,19,41,海外 - 冰岛,606
8,Male,,49,,4254
7,Female,17,109,广东省 - 深圳市,2160
4,Female,,21,安徽省 - 合肥市,190
8,Male,42,49,湖南省 - 湘潭市,3885
7,Female,,52,,2829
7,Female,,4,广东省 - 汕头市,1325
7,Male,2,42,广东省 - 深圳市,2733
8,Male,26,16,安徽省 - 淮北市,4846
8,Female,22,87,安徽省 - 合肥市,4167
6,Male,,8,江西省 - 南昌市,872
7,Male,38,2189,甘肃省 - 兰州市,2117
9,Female,22,57,海外 - 其它,8560
6,Female,24,25,江苏省 - 无锡市,556
9,Male,26,63,云南省 - 昆明市,12527
9,Male,24,189,北京市 ,11870
8,Male,23,83,四川省 - 成都市,3493
5,Male,23,13,河北省 - 邢台市,391
7,Female,,14,河南省 - 焦作市,1138
8,Male,24,182,福建省 - 厦门市,3451
6,Male,,15,江苏省 - 南京市,661
7,Male,39,18,河南省 - 郑州市,1063
7,Male,23,79,辽宁省 - 营口市,1910
